table_name,role,action,policy_names,policy_hashes,classification,owner,review_by,reason
beta_feedback,authenticated,SELECT,Admins can view all feedback+Users can view their clinic feedback,45f1d3e186c8e595c8057be5b26a568a+a6c4eda2103083a93eba244c2e930ba6,UNKNOWN_BLOCK_UNCLASSIFIED,classification_owner,Before PR12 hosted apply,Admin policy is a strict subset but table classification and PR09 contract need dedicated TDD
beta_usage_metrics,authenticated,SELECT,Admins can view all metrics+Users can view their clinic metrics,45f1d3e186c8e595c8057be5b26a568a+a6c4eda2103083a93eba244c2e930ba6,UNKNOWN_BLOCK_UNCLASSIFIED,classification_owner,Before PR12 hosted apply,Admin policy is a strict subset but table classification and PR09 contract need dedicated TDD
calendar_feed_tokens,authenticated,SELECT,calendar_feed_tokens_select_scoped+calendar_feed_tokens_write_admin_only,6807f37694ae6d95184dc674e6ec9a56+31b34b8a1c9b0d7d92bc4c5a32a764fa,A_TENANT_CANONICAL,product_security_owner,Global-admin clinic-reach sign-off,ALL split would preserve current behavior but current global-admin write reach is an unresolved owner decision
critical_incidents,authenticated,SELECT,Admins can manage incidents+Affected clinics can view their incidents,692f50f85a3197c6df642119822bed22+7fa4176911622b7c0a87c8ff75d928e6,UNKNOWN_BLOCK_UNCLASSIFIED,security_owner,Dedicated array/NULL tenant TDD,ALL write is narrower than SELECT and affected_clinics array semantics are high risk
menu_template_billing_profiles,authenticated,SELECT,menu_template_billing_profiles_select_for_managers+menu_template_billing_profiles_write_for_admin,92b406ded0f3c4ae3bc3782c1422a324+05028cf3f1d70543e1872e24d518bb2c,UNKNOWN_BLOCK_UNCLASSIFIED,classification_owner,Before any DDL,Logical split is possible but DDL is prohibited while unclassified
menus,authenticated,SELECT,menus_select_for_managers+menus_select_for_staff,cab20c8990cb470ed3c9302dcfa3b3e2+94f2432e007692bbf19548caa7a21957,A_TENANT_CANONICAL,product_owner,Role visibility contract review,Manager and staff policies intentionally differ on active/deleted visibility
profiles,authenticated,SELECT,profiles_admin_select+profiles_self_select,c53d6792df6caf79f57a88848b7c9f81+b427e1895a53a153b8d73b1cb7974183,UNKNOWN_BLOCK_UNCLASSIFIED,auth_security_owner,Dedicated self/admin tenant TDD,Self and scoped admin predicates do not contain each other and include NULL clinic behavior
registered_devices,authenticated,SELECT,registered_devices_admin_select+registered_devices_self_all,d4cc0631b3915f6f7fb81aceea4c6f70+8caf319316f93ac13f954e7024a8133d,UNKNOWN_BLOCK_UNCLASSIFIED,auth_security_owner,Dedicated device ownership TDD,Merging admin SELECT with self ALL could grant admin or self unintended writes
revenue_estimate_lines,authenticated,SELECT,revenue_estimate_lines_select_for_staff+revenue_estimate_lines_write_for_staff,57472d058f7cc37bffe2fd9c33ec038c+109771e5857cff00a6f9494517bd442c,UNKNOWN_BLOCK_UNCLASSIFIED,classification_owner,Before any DDL,SELECT is redundant with ALL but table classification blocks DDL
revenue_estimate_warnings,authenticated,SELECT,revenue_estimate_warnings_select_for_staff+revenue_estimate_warnings_write_for_staff,57472d058f7cc37bffe2fd9c33ec038c+109771e5857cff00a6f9494517bd442c,UNKNOWN_BLOCK_UNCLASSIFIED,classification_owner,Before any DDL,SELECT is redundant with ALL but table classification blocks DDL
revenue_estimates,authenticated,SELECT,revenue_estimates_select_for_staff+revenue_estimates_write_for_staff,57472d058f7cc37bffe2fd9c33ec038c+109771e5857cff00a6f9494517bd442c,UNKNOWN_BLOCK_UNCLASSIFIED,classification_owner,Before any DDL,SELECT is redundant with ALL but table classification blocks DDL
security_events,authenticated,SELECT,security_events_admin_select+security_events_self_select,bc79e165cb135e0dd2d6c383a7f85103+c6a7a718b285d23adf95abaa5c6a924e,UNKNOWN_BLOCK_UNCLASSIFIED,auth_security_owner,Dedicated NULL-clinic and JWT-admin TDD,Self and admin predicates have distinct NULL clinic semantics
session_policies,authenticated,SELECT,session_policies_admin_all+session_policies_staff_select,9c905d933138cffbb4ba7fb218bd4dec+feddbfcf0a4b5c14377ca4843aa55550,UNKNOWN_BLOCK_UNCLASSIFIED,auth_security_owner,Dedicated session policy TDD,OR-merging SELECT into ALL would grant staff writes
staff_invites,authenticated,SELECT,staff_invites_clinic_admin_select+staff_invites_creator_select,cab20c8990cb470ed3c9302dcfa3b3e2+e085bbfdb64557e00417cea47cdf9c54,UNKNOWN_BLOCK_UNCLASSIFIED,invite_security_owner,Dedicated token-sensitive tenant TDD,Scoped admin and creator predicates do not contain each other
user_permissions,authenticated,SELECT,user_permissions_admin_manage+user_permissions_self_select,9c905d933138cffbb4ba7fb218bd4dec+de42500678e4bb0e42026c6be18e840d,UNKNOWN_BLOCK_UNCLASSIFIED,auth_security_owner,Dedicated self/admin TDD,OR-merging self SELECT into admin ALL could enable self DELETE
user_sessions,authenticated,SELECT,user_sessions_admin_select+user_sessions_self_select,d4cc0631b3915f6f7fb81aceea4c6f70+f21313a175009038bfef70de8781777a,UNKNOWN_BLOCK_UNCLASSIFIED,auth_security_owner,Dedicated session tenant TDD,Self and admin scoped reads require independent behavior proof
