schema,signature,security_definer,exposed_schema,data_api_callable,execute_grantees_before,search_path,user_input,tenant_scope,owner,callers,tests,decision
"public","normalize_customer_phone(text)","false","yes","client","PUBLIC;anon;authenticated;service_role","mutable","text","none; pure normalization","postgres","generated column public.customers.normalized_phone","COMM-FUNCTION-002; commercial_function_execution_test","PR04_FIX_PATH_KEEP_EXISTING_EXECUTE"
"public","accept_invite(uuid)","true","yes","service_role only","service_role","public","invite token","invite row and claimed user","postgres","server invite flow; PR-08 redesign pending","invite tests; caller inventory","KEEP_SERVICE_ROLE_ONLY_PR08"
"public","activate_billable_store_if_capacity(uuid,uuid)","true","yes","service_role only","service_role","public, auth, extensions","clinic and actor ids","application-validated billing clinic scope","postgres","src/lib/billing/tenant-activation.ts","billing tenant activation tests","KEEP_SERVICE_ROLE_ONLY"
"public","aggregate_mfa_stats(uuid,timestamp with time zone,timestamp with time zone)","true","yes","service_role only","service_role","public, auth, extensions","clinic and time range","service-owned clinic aggregation","postgres","server security aggregation","security tests; caller inventory","KEEP_SERVICE_ROLE_ONLY"
"app_private","app_private.assert_manager_clinic_assignment_valid()","true","no","no","service_role","public, auth, extensions","trigger row","manager assignment clinic invariant","postgres","manager_clinic_assignments triggers","commercial RLS; trigger catalog","KEEP_TRIGGER_ONLY_NO_PUBLIC"
"app_private","app_private.assert_subscription_org_root_clinic()","true","no","no","PUBLIC;anon;authenticated;service_role","public, auth, extensions","trigger row","subscription root clinic invariant","postgres","subscriptions_org_root_clinic_guard","catalog; billing tests","PR04_REMOVE_PUBLIC_TRIGGER_ONLY"
"app_private","app_private.belongs_to_clinic(uuid)","true","no","no","PUBLIC;anon;authenticated;service_role","public, auth, extensions","clinic id","JWT/DB clinic helper","postgres","RLS policies","commercial RLS; function execution SQL","KEEP_EXPLICIT_RLS_HELPER_REMOVE_PUBLIC"
"app_private","app_private.can_access_clinic(uuid)","true","no","no","PUBLIC;anon;authenticated;service_role","public, auth, extensions","clinic id","JWT clinic_scope_ids fail-closed","postgres","RLS policies","commercial RLS; function execution SQL","KEEP_EXPLICIT_RLS_HELPER_REMOVE_PUBLIC"
"app_private","app_private.custom_access_token_hook(jsonb)","true","no","no","PUBLIC;anon;authenticated;service_role;supabase_auth_admin","public, auth, extensions","Auth event","permission-row clinic scope claims","postgres","supabase/config.toml Auth hook","function execution SQL; Auth E2E pending","PR04_SUPABASE_AUTH_ADMIN_ONLY"
"app_private","app_private.get_current_clinic_id()","true","no","no","PUBLIC;anon;authenticated;service_role","public, auth, extensions","request context","JWT then DB permission clinic","postgres","RLS policies","commercial RLS; function execution SQL","KEEP_EXPLICIT_RLS_HELPER_REMOVE_PUBLIC"
"app_private","app_private.get_current_role()","true","no","no","PUBLIC;anon;authenticated;service_role","public, auth, extensions","request context","JWT then DB permission role","postgres","RLS policies","commercial RLS; function execution SQL","KEEP_EXPLICIT_RLS_HELPER_REMOVE_PUBLIC"
"app_private","app_private.get_sibling_clinic_ids(uuid)","true","no","no","PUBLIC;anon;authenticated;service_role","public, auth, extensions","clinic id","authenticated manager hierarchy","postgres","RLS/helper callers","function execution SQL","KEEP_AUTHENTICATED_ONLY_REMOVE_PUBLIC"
"app_private","app_private.is_admin()","true","no","no","PUBLIC;anon;authenticated;service_role","public, auth, extensions","request context","current role helper","postgres","RLS policies","commercial RLS","KEEP_EXPLICIT_RLS_HELPER_REMOVE_PUBLIC"
"app_private","app_private.jwt_clinic_id()","true","no","no","PUBLIC;anon;authenticated;service_role","public, auth, extensions","request context","JWT clinic claim parser","postgres","RLS helpers","function execution SQL","KEEP_EXPLICIT_RLS_HELPER_REMOVE_PUBLIC"
